Zeit;Kanal A
(ms);(mV)

17,31899988;1,12819900
17,32399988;2,63348900
17,32899988;2,63348900
17,33399988;2,44525100
17,33899988;2,06877400
17,34399988;2,44525100
17,34899988;2,82111200
17,35399988;2,06877400
17,35899988;2,44525100
17,36399988;0,00000000
17,36899988;2,06877400
17,37399988;2,44525100
17,37899988;1,50467500
17,38399988;1,69291300
17,38899988;1,88053600
17,39399988;1,12819900
17,39899988;1,50467500
17,40399988;0,93996060
17,40899988;-0,56409940
17,41399988;1,50467500
17,41899988;0,37586120
17,42399988;0,93996060
17,42899988;0,93996060
17,43399988;0,93996060
17,43899988;0,93996060
17,44399988;0,75233760
17,44899988;0,93996060
17,45399988;1,31643700
17,45899988;1,69291300
17,46399988;1,12819900
17,46899988;1,50467500
17,47399988;1,12819900
17,47899988;1,69291300
17,48399987;1,50467500
17,48899987;1,50467500
17,49399987;1,31643700
17,49899987;2,25701300
17,50399987;1,12819900
17,50899987;1,69291300
17,51399987;0,37586120
17,51899987;1,12819900
17,52399987;1,12819900
17,52899987;1,88053600
17,53399987;0,37586120
17,53899987;0,56409940
17,54399987;2,06877400
17,54899987;0,37586120
17,55399987;-0,18762300
17,55899987;0,00000000
17,56399987;0,00000000
17,56899987;0,00000000
17,57399987;0,18762300
17,57899987;-0,56409940
17,58399987;-0,75233760
17,58899987;-0,37586120
17,59399987;-1,69291300
17,59899987;-1,12819900
17,60399987;-1,12819900
17,60899987;-2,82111200
17,61399987;-2,06877400
17,61899987;-2,06877400
17,62399987;-3,00935000
17,62899987;-2,63348900
17,63399987;-3,38582700
17,63899987;-3,57345000
17,64399987;-3,38582700
17,64899987;-3,00935000
17,65399987;-2,25701300
17,65899987;-1,69291300
17,66399987;-1,31643700
17,66899987;0,00000000
17,67399987;0,93996060
17,67899987;1,88053600
17,68399987;1,88053600
17,68899987;3,00935000
17,69399987;3,00935000
17,69899987;2,82111200
17,70399987;3,00935000
17,70899987;3,76168800
17,71399987;2,63348900
17,71899987;2,44525100
17,72399987;2,25701300
17,72899987;0,00000000
17,73399987;0,18762300
17,73899987;0,00000000
17,74399987;-0,56409940
17,74899987;-0,93996060
17,75399987;-0,75233760
17,75899987;-1,12819900
17,76399987;-1,50467500
17,76899987;-1,88053600
17,77399987;-1,12819900
17,77899987;-1,31643700
17,78399987;-1,31643700
17,78899987;-1,88053600
17,79399987;-1,31643700
17,79899987;-1,69291300
17,80399987;-0,18762300
17,80899987;-1,69291300
17,81399987;-0,93996060
17,81899987;-0,56409940
17,82399987;-1,31643700
17,82899987;-1,12819900
17,83399987;-2,06877400
17,83899987;-1,31643700
17,84399987;-1,69291300
17,84899987;-1,88053600
17,85399987;-1,50467500
17,85899987;-0,37586120
17,86399987;-0,93996060
17,86899987;-0,75233760
17,87399987;-1,31643700
17,87899986;-0,93996060
17,88399986;-1,12819900
17,88899986;-1,12819900
17,89399986;-1,12819900
17,89899986;-1,12819900
17,90399986;-2,25701300
17,90899986;-0,37586120
17,91399986;-0,37586120
17,91899986;0,93996060
17,92399986;0,93996060
17,92899986;0,18762300
17,93399986;-0,93996060
17,93899986;0,75233760
17,94399986;0,93996060
17,94899986;0,18762300
17,95399986;0,56409940
17,95899986;0,18762300
17,96399986;-0,56409940
17,96899986;-0,18762300
17,97399986;0,00000000
17,97899986;0,00000000
17,98399986;-0,18762300
17,98899986;0,00000000
17,99399986;-0,75233760
17,99899986;-0,75233760
18,00399986;0,37586120
18,00899986;0,18762300
18,01399986;0,56409940
18,01899986;1,31643700
18,02399986;1,12819900
18,02899986;1,50467500
18,03399986;1,31643700
18,03899986;0,56409940
18,04399986;1,69291300
18,04899986;2,06877400
18,05399986;2,25701300
18,05899986;1,50467500
18,06399986;1,12819900
18,06899986;1,50467500
18,07399986;1,12819900
18,07899986;1,50467500
18,08399986;0,56409940
18,08899986;0,37586120
18,09399986;-0,37586120
18,09899986;1,50467500
18,10399986;-0,18762300
18,10899986;-0,56409940
18,11399986;-0,75233760
18,11899986;-0,18762300
18,12399986;-0,37586120
18,12899986;0,18762300
18,13399986;0,18762300
18,13899986;-0,18762300
18,14399986;0,00000000
18,14899986;0,18762300
18,15399986;0,18762300
18,15899986;0,56409940
18,16399986;0,37586120
18,16899986;-0,37586120
18,17399986;0,56409940
18,17899986;0,56409940
18,18399986;0,00000000
18,18899986;-0,93996060
18,19399986;-1,31643700
18,19899986;-1,12819900
18,20399986;-1,88053600
18,20899986;-2,06877400
18,21399986;-2,25701300
18,21899986;-2,63348900
18,22399986;-2,63348900
18,22899986;-3,19758800
18,23399986;-3,19758800
18,23899986;-3,57345000
18,24399986;-4,70226400
18,24899986;-4,32640200
18,25399986;-4,32640200
18,25899986;-4,13816400
18,26399986;-4,32640200
18,26899986;-4,13816400
18,27399985;-3,76168800
18,27899985;-4,13816400
18,28399985;-4,13816400
18,28899985;-3,94992600
18,29399985;-3,00935000
18,29899985;-3,19758800
18,30399985;-3,57345000
18,30899985;-3,00935000
18,31399985;-3,19758800
18,31899985;-2,82111200
18,32399985;-2,44525100
18,32899985;-2,06877400
18,33399985;-1,88053600
18,33899985;-2,44525100
18,34399985;-2,44525100
18,34899985;-2,63348900
18,35399985;-2,44525100
18,35899985;-2,25701300
18,36399985;-2,44525100
18,36899985;-2,25701300
18,37399985;-2,44525100
18,37899985;-3,00935000
18,38399985;-3,76168800
18,38899985;-2,82111200
18,39399985;-3,19758800
18,39899985;-3,76168800
18,40399985;-4,13816400
18,40899985;-3,94992600
18,41399985;-5,07874000
18,41899985;-4,51402500
18,42399985;-6,39517700
18,42899985;-4,13816400
18,43399985;-5,07874000
18,43899985;-4,51402500
18,44399985;-4,51402500
18,44899985;-4,32640200
18,45399985;-4,89050100
18,45899985;-4,51402500
18,46399985;-4,51402500
18,46899985;-4,89050100
18,47399985;-3,38582700
18,47899985;-3,57345000
18,48399985;-2,82111200
18,48899985;-3,00935000
18,49399985;-3,19758800
18,49899985;-3,00935000
18,50399985;-2,25701300
18,50899985;-3,38582700
18,51399985;-3,57345000
18,51899985;-2,44525100
18,52399985;-3,00935000
18,52899985;-3,19758800
18,53399985;-3,38582700
18,53899985;-3,00935000
18,54399985;-2,82111200
18,54899985;-3,38582700
18,55399985;-3,00935000
18,55899985;-2,63348900
18,56399985;-2,63348900
18,56899985;-2,06877400
18,57399985;-2,06877400
18,57899985;-1,69291300
18,58399985;-1,31643700
18,58899985;-0,93996060
18,59399985;-1,12819900
18,59899985;-0,75233760
18,60399985;-0,75233760
18,60899985;-0,75233760
18,61399985;0,00000000
18,61899985;-0,75233760
18,62399985;0,18762300
18,62899985;-0,56409940
18,63399985;-1,31643700
18,63899985;-1,12819900
18,64399985;-0,18762300
18,64899985;-0,37586120
18,65399985;-0,18762300
18,65899985;0,18762300
18,66399985;0,56409940
18,66899984;0,56409940
18,67399984;1,12819900
18,67899984;0,56409940
18,68399984;0,93996060
18,68899984;0,56409940
18,69399984;1,12819900
18,69899984;1,50467500
18,70399984;1,12819900
18,70899984;1,31643700
18,71399984;1,12819900
18,71899984;1,12819900
18,72399984;1,50467500
18,72899984;0,75233760
18,73399984;0,93996060
18,73899984;1,31643700
18,74399984;0,56409940
18,74899984;1,50467500
18,75399984;1,12819900
18,75899984;1,69291300
18,76399984;1,88053600
18,76899984;1,69291300
18,77399984;2,06877400
18,77899984;2,82111200
18,78399984;2,25701300
18,78899984;2,44525100
18,79399984;2,44525100
18,79899984;2,44525100
18,80399984;2,44525100
18,80899984;1,12819900
18,81399984;2,63348900
18,81899984;2,82111200
18,82399984;2,44525100
18,82899984;2,44525100
18,83399984;3,00935000
18,83899984;2,63348900
18,84399984;2,44525100
18,84899984;2,06877400
18,85399984;1,88053600
18,85899984;2,06877400
18,86399984;1,88053600
18,86899984;1,50467500
18,87399984;0,93996060
18,87899984;1,31643700
18,88399984;0,93996060
18,88899984;0,93996060
18,89399984;0,56409940
18,89899984;0,93996060
18,90399984;0,93996060
18,90899984;0,93996060
18,91399984;0,93996060
18,91899984;1,12819900
18,92399984;0,56409940
18,92899984;1,12819900
18,93399984;1,31643700
18,93899984;1,12819900
18,94399984;1,12819900
18,94899984;0,93996060
18,95399984;0,93996060
18,95899984;1,12819900
18,96399984;1,69291300
18,96899984;1,88053600
18,97399984;1,50467500
18,97899984;2,06877400
18,98399984;2,06877400
18,98899984;1,88053600
18,99399984;2,82111200
18,99899984;2,44525100
19,00399984;2,63348900
19,00899984;1,69291300
19,01399984;2,44525100
19,01899984;2,44525100
19,02399984;1,50467500
19,02899984;2,63348900
19,03399984;2,63348900
19,03899984;2,06877400
19,04399984;3,00935000
19,04899984;1,88053600
19,05399984;1,69291300
19,05899984;1,88053600
